,,,,,,,,
??  FINANCIAL IMPACT TRACKER  |  HARD SAVINGS · SOFT SAVINGS · ROI,,,,,,,,
,,,,,,,,
,HARD SAVINGS,,SOFT SAVINGS,,COST AVOIDANCE,,INVESTMENT,
,"$1,240,000",,"$860,000",,"$420,000",,"$340,000",
,,,,,,,,
,"NET ROI  =  634%   |   Payback: 2.1 months   |   NPV: $1,842,000   |   IRR: 287%",,,,,,,
  ?  PROJECT-BY-PROJECT FINANCIAL BREAKDOWN,,,,,,,,
,PROJECT ID,PROJECT TITLE,INVESTMENT ($),HARD SAVINGS ($),SOFT SAVINGS ($),COST AVOID ($),TOTAL BENEFIT ($),ROI
,KZ-041,Die Changeover Reduction,"$12,000","$82,000","$15,000","$5,000","$102,000",750%
,KZ-042,Rework Loop Elimination,"$18,000","$140,000","$22,000","$8,000","$170,000",844%
,KZ-043,5S Warehouse Zone B,"$5,000","$28,000","$8,000","$2,000","$38,000",660%
,KZ-044,OEE Injection Moulding,"$35,000","$210,000","$45,000","$15,000","$270,000",671%
,KZ-045,Overproduction Line 1,"$8,000","$95,000","$18,000","$4,000","$117,000",1363%
,KZ-046,Supplier Lead Time,"$6,000","$67,000","$12,000","$3,000","$82,000",1267%
,KZ-038,Assembly Poka-Yoke (CLOSED),"$15,000","$112,000","$28,000","$10,000","$150,000",900%
,KZ-039,SMED Line 4 (CLOSED),"$12,000","$88,000","$16,000","$6,000","$110,000",817%
,KZ-047,Scrap Rate Stamping,"$7,000","$55,000","$9,000","$2,000","$66,000",843%
,KZ-048,Energy – Compressors,"$9,000","$38,000","$22,000","$5,000","$65,000",622%
,KZ-049,Packaging Throughput,"$8,000","$72,000","$14,000","$4,000","$90,000",1025%
,KZ-050,PM Tooling,"$10,000","$44,000","$31,000","$8,000","$83,000",730%
,GRAND TOTALS,,"$145,000","$1,031,000","$240,000","$72,000","$1,343,000",826%
